time,x,y,z
1469,278,281,158
1470,278,281,158
1471,276,281,157
1472,278,281,156
1473,279,281,157
1474,277,280,156
1475,277,281,158
1476,278,281,157
1477,279,279,155
1478,278,281,158
1479,278,281,158
1480,275,280,157
1481,279,281,156
1482,279,280,157
1483,278,279,158
1484,277,281,158
1485,278,280,156
1486,279,280,154
1487,278,280,158
1488,277,280,158
1489,276,281,157
1490,278,281,156
1491,279,281,158
1492,277,279,158
1493,277,280,158
1494,278,280,156
1495,279,280,155
1496,278,281,158
1497,277,281,158
1498,276,281,157
1499,278,280,156
1500,279,280,157
1501,277,279,158
1502,277,281,157
1503,279,280,156
1504,279,280,155
1505,278,280,158
1506,277,281,158
1507,277,280,156
1508,279,280,156
1509,279,280,157
1510,277,279,158
1511,276,281,157
1512,278,281,156
1513,279,280,155
1514,278,280,158
1515,277,281,159
1516,276,280,157
1517,278,280,156
1518,279,280,158
1519,278,280,158
1520,277,280,157
1521,279,281,156
1522,279,280,155
1523,278,280,158
1524,277,281,158
1525,277,281,156
1526,279,282,156
1527,279,280,158
1528,277,280,158
1529,277,281,158
1530,278,281,157
1531,279,280,156
1532,277,281,158
1533,277,281,159
1534,277,280,156
1535,279,280,156
1536,279,280,158
1537,278,280,158
1538,277,281,157
1539,278,281,156
1540,279,281,156
1541,277,281,158
1542,277,281,159
1543,277,280,157
1544,279,280,156
1545,279,281,157
1546,278,280,158
1547,277,280,157
1548,278,281,156
1549,279,280,158
1550,278,280,158
1551,277,281,159
1552,278,281,156
1553,279,280,156
1554,279,281,158
1555,277,280,158
1556,277,281,157
1557,278,282,156
1558,279,281,156
1559,277,281,158
1560,277,281,159
1561,278,281,156
1562,279,280,156
1563,279,281,157
1564,277,280,158
1565,277,281,157
1566,279,281,156
1567,279,281,156
1568,277,281,158
1569,277,281,159
1570,275,280,156
1571,278,280,156
1572,279,281,157
1573,277,280,158
1574,277,281,157
1575,279,281,156
1576,279,280,157
1577,278,281,158
1578,277,281,158
1579,278,281,157
1580,278,281,156
1581,279,281,158
1582,277,281,158
1583,276,281,157
1584,279,280,156
1585,279,281,156
1586,277,281,158
1587,277,281,158
1588,278,281,156
1589,279,280,155
1590,278,281,158
1591,277,281,158
1592,276,280,157
1593,278,281,156
1594,279,281,156
1595,277,281,158
1596,277,281,158
1597,278,281,156
1598,279,280,155
1599,278,281,158
1600,277,281,158
1601,276,281,157
1602,279,281,156
1603,279,280,157
1604,278,280,158
1605,277,281,158
1606,278,281,156
1607,279,280,155
1608,279,281,158
1609,277,281,158
1610,276,281,157
1611,279,281,156
1612,279,281,157
1613,278,280,158
1614,277,281,158
1615,278,280,156
1616,279,280,154
1617,278,281,158
1618,277,280,158
1619,276,280,157
1620,279,281,156
1621,279,281,157
1622,278,279,157
1623,278,281,158
1624,278,281,157
1625,280,281,155
1626,278,281,158
1627,277,281,158
1628,276,281,157
1629,279,281,156
1630,279,281,157
1631,278,280,158
1632,277,281,158
1633,277,280,157
1634,279,281,155
1635,279,281,158
1636,277,281,158
1637,276,281,157
1638,279,281,156
1639,279,281,157
1640,278,280,158
1641,277,281,158
1642,278,281,156
1643,279,281,155
1644,278,281,157
1645,277,280,158
1646,276,281,157
1647,279,281,156
1648,279,281,158
1649,278,280,158
1650,277,280,158
1651,278,280,156
1652,280,281,155
1653,278,281,158
1654,277,281,158
1655,276,281,156
1656,279,281,156
1657,279,281,157
1658,277,279,158
1659,277,278,157
